company,job_title,status,date_applied,deadline,type,contact_person,email,application_link,resume_link,location,time_posted,num_applicants,job_id,posting_date
Registered Nurses' Association of Ontario (RNAO),Machine Learning Developer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4231568490,,"Toronto, Ontario, Canada",22 hours ago,52 applicants,4231568490,2025-05-17
William Osler Health System,Research Assistant - Oncology,Not Applied,,"May 28, 2025",Full-time,,human.resources@williamoslerhs.ca.While,https://www.linkedin.com/jobs/view/4231734975,,"Brampton, Ontario, Canada",19 hours ago,55 applicants,4231734975,2025-05-17
Oracle,MySQL Heatwave - Software Developer Intern (6 month duration),Not Applied,,,Full-time,,accommodation-request_mb@oracle.com,https://www.linkedin.com/jobs/view/4180672988,,Canada,5 hours ago,66 applicants,4180672988,2025-05-17
"ClearVision Technologies, Inc.",Computer Vision Developer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229290114,,"Vancouver, British Columbia, Canada",19 hours ago,36 applicants,4229290114,2025-05-17
ITjobs.ca,"Manager, Artificial Intelligence",Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4232102338,,"Montreal, Quebec, Canada",7 hours ago,,4232102338,2025-05-17
RBC,Data Scientist,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4231719204,,"Toronto, Ontario, Canada",20 hours ago,121 applicants,4231719204,2025-05-17
Evident,AI Specialist,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229543688,,"Vancouver, British Columbia, Canada",9 hours ago,,4229543688,2025-05-17
TEKsystems,KYC Data Analyst,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4232100510,,"Toronto, Ontario, Canada",1 hour ago,,4232100510,2025-05-17
Tenth Revolution Group,Computer Vision Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229491628,,"Markham, Ontario, Canada",19 hours ago,41 applicants,4229491628,2025-05-17
Compunnel Inc.,Python Developer,Not Applied,,,Contract,,,https://www.linkedin.com/jobs/view/4231564125,,"Montreal, Quebec, Canada",1 day ago,54 applicants,4231564125,2025-05-16
Jerry,Data Scientist,Not Applied,,,Full-time,us at recruiting,recruiting@jerry.aiAbout,https://www.linkedin.com/jobs/view/4229285240,,"Greater Toronto Area, Canada",20 hours ago,76 applicants,4229285240,2025-05-17
Global Relay,Intermediate II Software Developer - Artificial Intelligence,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4159523469,,"Vancouver, British Columbia, Canada",3 hours ago,,4159523469,2025-05-17
Affirm,Machine Learning Engineer I,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229511408,,"Hamilton, Ontario, Canada",15 hours ago,,4229511408,2025-05-17
IG Wealth Management,"Fall Intern, Data Office",Not Applied,,,Internship,the Talent Acquisition,,https://www.linkedin.com/jobs/view/4201307456,,"Manitoba, Canada",3 hours ago,,4201307456,2025-05-17
Affirm,Machine Learning Engineer I,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229511409,,"Windsor, Ontario, Canada",15 hours ago,,4229511409,2025-05-17
Affirm,Machine Learning Engineer I,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229510367,,"Ottawa, Ontario, Canada",15 hours ago,,4229510367,2025-05-17
Affirm,Machine Learning Engineer I,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229511407,,"Edmonton, Alberta, Canada",15 hours ago,,4229511407,2025-05-17
Ritchie Bros.,Data Analytics Associate,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4179926522,,"Burnaby, British Columbia, Canada",6 hours ago,44 applicants,4179926522,2025-05-17
HOOPP (Healthcare of Ontario Pension Plan),"Analyst, GPT Analytics",Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4231711868,,"Toronto, Ontario, Canada",20 hours ago,80 applicants,4231711868,2025-05-17
Autodesk,Principal Machine Learning: Generative AI,Not Applied,,,Full-time,Autodesk Careers,,https://www.linkedin.com/jobs/view/4158550372,,"Toronto, Ontario, Canada",5 hours ago,,4158550372,2025-05-17
Ubisoft Montréal,Programmeur.euse Machine Learning (Personnages & Animation) - Rainbow Six,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4181393247,,"Montreal, Quebec, Canada",3 hours ago,,4181393247,2025-05-17
Softchoice,"Sr. Software Engineer, AI",Not Applied,,,Full-time,,asktalentacquisition@softchoice.com,https://www.linkedin.com/jobs/view/4200993104,,"Toronto, Ontario, Canada",1 hour ago,,4200993104,2025-05-17
Jobster LLC,Data Scientist,Not Applied,,,Contract,,,https://www.linkedin.com/jobs/view/4229544167,,"Montreal, Quebec, Canada",10 hours ago,,4229544167,2025-05-17
Roche,AI Solution Architect,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4217682847,,"Mississauga, Ontario, Canada",1 hour ago,,4217682847,2025-05-17
Deloitte,Data Engineer/Data Analyst,Not Applied,,,Full-time,,accessiblecareers@deloitte.ca,https://www.linkedin.com/jobs/view/4201106956,,"Saint John, New Brunswick, Canada",1 hour ago,,4201106956,2025-05-17
Dare Foods Limited,Analyst - Master Data,Not Applied,,,Temporary,,,https://www.linkedin.com/jobs/view/4229580712,,"Cambridge, Ontario, Canada",6 hours ago,,4229580712,2025-05-17
Headache Sciences Inc.,Clinical Research Associate,Not Applied,,,Part-time,,ganand@headachesciences.com,https://www.linkedin.com/jobs/view/3736895537,,"Toronto, Ontario, Canada",20 hours ago,46 applicants,3736895537,2025-05-17
Avanade,"AI Engineer, Cons/ Sr Cons",Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4201263054,,"Halifax, Nova Scotia, Canada",19 hours ago,,4201263054,2025-05-17
Stripe,Software Development Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4161836627,,Canada,1 hour ago,72 applicants,4161836627,2025-05-17
Softchoice,"Sr. Software Engineer, AI",Not Applied,,,Full-time,,asktalentacquisition@softchoice.com,https://www.linkedin.com/jobs/view/4200992205,,"Ottawa, Ontario, Canada",1 hour ago,,4200992205,2025-05-17
EQ Bank | Equitable Bank,Senior Data Engineer,Not Applied,,,Full-time,leading candidates whose,,https://www.linkedin.com/jobs/view/4214798890,,"Toronto, Ontario, Canada",5 hours ago,55 applicants,4214798890,2025-05-17
Kinaxis,"Engineering Director, AI/ML",Not Applied,,,Full-time,information is strictly,recruitmentprograms@kinaxis.com,https://www.linkedin.com/jobs/view/4184290421,,"Ottawa, Ontario, Canada",6 hours ago,,4184290421,2025-05-17
Rackspace Technology,Principal MLOPs Engineer (Canada),Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229539724,,Canada,10 hours ago,,4229539724,2025-05-17
Rackspace Technology,Principal MLOPs Engineer (Canada),Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229539723,,"Toronto, Ontario, Canada",10 hours ago,,4229539723,2025-05-17
Spotify,Platform Engineer I - Machine Learning Infrastructure,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4231724807,,"Toronto, Ontario, Canada",19 hours ago,195 applicants,4231724807,2025-05-17
Sarinas Consulting,Software Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229278925,,Canada,20 hours ago,,4229278925,2025-05-17
Affirm,Machine Learning Engineer I,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229512357,,Greater St. John's Metropolitan Area,15 hours ago,,4229512357,2025-05-17
