company,job_title,status,date_applied,deadline,type,contact_person,email,application_link,resume_link,location,time_posted,num_applicants,job_id
ITjobs.ca,AI Engineer,Not Applied,,,Full-time,,PeopleHub@compass-canada.com,https://www.linkedin.com/jobs/view/4211275447,,"Toronto, Ontario, Canada",1 month ago,,4211275447
Randstad Digital,Artificial Intelligence Engineer,Not Applied,,,Contract,,,https://www.linkedin.com/jobs/view/4226560879,,"Toronto, Ontario, Canada",3 days ago,,4226560879
Roche,Data Engineer- AI/ML,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229658881,,"Mississauga, Ontario, Canada",2 days ago,113 applicants,4229658881
Grammarly,"Software Engineer, Machine Learning",Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4209894036,,"Toronto, Ontario, Canada",1 week ago,58 applicants,4209894036
Sanofi,Senior Machine Learning (ML) Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4205654771,,"Toronto, Ontario, Canada",1 month ago,,4205654771
Koda Staff,MLOps Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4191418236,,"Greater Toronto Area, Canada",1 month ago,25 applicants,4191418236
Autodesk,"Senior ML Engineer (Toronto, Hybrid / Remote)",Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4223228119,,"Toronto, Ontario, Canada",1 week ago,,4223228119
Loopio,MLOps Engineer,Not Applied,,,Full-time,,work@loopio.com,https://www.linkedin.com/jobs/view/4229148575,,"Toronto, Ontario, Canada",3 days ago,44 applicants,4229148575
DAC,Prompt Engineer,Not Applied,,,Full-time,,tacquisition@dacgroup.com,https://www.linkedin.com/jobs/view/4203184076,,"Toronto, Ontario, Canada",1 month ago,,4203184076
Stripe,"Software Engineer, Machine Learning Infrastructure",Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4146035808,,"Toronto, Ontario, Canada",1 week ago,53 applicants,4146035808
BMO,AI Engineer,Not Applied,,,Full-time,your recruiter,,https://www.linkedin.com/jobs/view/4222105523,,"Toronto, Ontario, Canada",1 week ago,39 applicants,4222105523
Vosyn,ML Engineer with Audio Processing Expertise (Speech-to-Speech Focus),Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4195740395,,"Etobicoke, Ontario, Canada",1 month ago,,4195740395
